what,kind,bundleId,bundleVersion,description,time
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670227966
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670229222
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670229976
error,log,,,"Unhandled event loop exception",1338670230235
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670232379
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670237821
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670238878
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670240615
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670243574
error,log,,,"Unhandled event loop exception",1338670246187
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338670248127
error,log,,,"Unhandled event loop exception",1338670249548
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338670262195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1338670267650
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338670276178
opened,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338670276991
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338670277058
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338670357531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670364288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670407332
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338670424609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670426196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670430724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670440591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670473204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670482262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338670485650
